"","...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","Integrante","Distrito","Universidad","Dias_de_publicación","Tiempo_transporte","Transporte_bool","Transporte_int","Precio","Tamaño","Servicios","Tiendas","Distancia","Amoblado","Baño","confiablidad_servicios","Calidad_habitacion","Comunicacion","Descripcion","Roomate","Fumar","Mascotas","Fiesta","Niños","Sitio_web","Zona"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Kiara","Lince","UTP",4,15,"Sí",5,650,14,4,5,3,"Completamente amoblada","Compartido",5,5,4,3,"Solo hombres","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Kiara","Miraflores","UTEC",9,12,"Sí",5,800,30,4,4,3,"Completamente amoblada","Privado",5,5,4,4,"Solo damas","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"3",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Maria","Santiago de Surco","URP",2,18,"Sí",3,500,12,4,3,8.4,"Basicamente amoblada","Privado",4,5,5,4,"No menciona","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
"4",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Maria","San Martín de Porres","UNMSM",53,11,"Sí",2,500,20,4,3,4.4,"Completamente amoblada","Privado",4,5,5,5,"Cualquier genero","No muestra","No muestra","No muestra","Si","urbania.pe","Lima Norte"
"5",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Kiara","Miraflores","UTEC",59,7,"Sí",1,850,16,4,4,7,"Basicamente amoblada","Privado",5,4,4,3,"Solo damas","No muestra","Si","No muestra","No muestra","urbania.pe","Lima Oeste"
"6",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Maria","San Borja","UPSJB",27,6,"Sí",3,750,90,4,4,1.7,"Completamente amoblada","Compartido",4,4,5,4,"Solo damas","No","No","No","No","urbania.pe","Lima Oeste"
"7",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Kiara","Miraflores","UDEP",16,23,"Sí",5,730,20,0,5,2.5,"Completamente amoblada","Compartido",2,5,4,4,"No menciona","No","No","No muestra","No muestra","urbania.pe","Lima Oeste"
"8",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,"Kiara","Breña","UNFV",3,15,"Sí",2,500,13,4,5,1.7,"No amoblada","Privado",3,4,4,3,"No menciona","No muestra","No","No","No","urbania.pe","Lima Oeste"
"9",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"Caleb","San Miguel","UPC",5,7,"Sí",2,500,15,4,3,2,"Completamente amoblada","Compartido",5,4,3,4,"Solo damas","No","No","No","No","urbania.pe","Lima Oeste"
"10",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"Kiara","Jesús María","UP",12,5,"Sí",3,650,9,2,5,0.4,"Completamente amoblada","No aplica",4,4,4,3,"No menciona","No muestra","No muestra","No muestra","No muestra","urbania.pe","Lima Oeste"
