"","Integrante","Distrito","Universidad","Dias_de_publicación","Tiempo_transporte","Transporte_bool","Transporte_int","Precio","Tamaño","Servicios","Tiendas","Distancia","Amoblado","Baño","confiablidad_servicios","Calidad_habitacion","Comunicacion","Descripcion","Roomate","Fumar","Mascotas","Fiesta","Niños","Sitio_web"
"133","Leo","Los Olivos","UTP",55,8,"Sí",5,1300,73,4,6,4.4,"No amoblada","Privado",2,4,4,4,"Cualquier genero","Si","No","No","No","departamento.mercadolibre.com.pe"
"134","Leo","Los Olivos","UTP",28,13,"Sí",2,350,16,2,3,6.3,"No amoblada","Privado",3,3,3,3,"No menciona","No","No","No","No","departamento.mercadolibre.com.pe"
"135","Leo","Los Olivos","UTP",6,13,"Sí",2,500,24,2,3,6.9,"No amoblada","Privado",2,3,3,3,"Cualquier genero","No","No","No","No","inmueble.mercadolibre.com.pe"
"136","Leo","Los Olivos","UTP",44,7,"Sí",3,550,42,0,4,2.8,"No amoblada","Compartido",3,4,3,3,"Cualquier genero","No","No","No","No","casa.mercadolibre.com.pe"
"137","Ann","Pueblo Libre","UARM",20,5,"Sí",5,1570,90,2,3,0.11,"No amoblada","Privado",5,5,5,4,"Cualquier genero","No muestra","Si","No muestra","Si","casas.trovit.com.pe"
"138","Leo","Los Olivos","UTP",13,10,"Sí",4,580,12,3,3,5.7,"No amoblada","Compartido",2,2,2,3,"Cualquier genero","No","No","No","No","inmueble.mercadolibre.com.pe"
"139","Leo","Comas","UPN",1095,7,"Sí",3,250,9,0,3,3.4,"No amoblada","Privado",3,4,2,3,"Cualquier genero","No","No","No","No","inmueble.mercadolibre.com.pe"
"140","Leo","Los Olivos","UPN",180,11,"Sí",3,470,12,4,3,20,"No amoblada","Privado",2,3,3,4,"Cualquier genero","No","No","No","No","departamento.mercadolibre.com.pe"
"141","Ann","Pueblo Libre","PUCP",4,24,"Sí",4,1130,45,1,3,1.7,"No amoblada","Privado",4,5,5,4,"Cualquier genero","No muestra","No","No muestra","No","casas.trovit.com.pe"
"142","Leo","San Juan de Lurigancho","UPN",1095,48,"Sí",3,480,35,0,3,28,"No amoblada","Privado",3,3,1,3,"No menciona","No","No","No","No","departamento.mercadolibre.com.pe"
"143","Leo","San Borja","UTEC",60,14,"Sí",3,1280,28,0,3,8.7,"No amoblada","No aplica",1,2,3,3,"No menciona","No","No","No","No","departamento.mercadolibre.com.pe"
"144","Ann","Pueblo Libre","PUCP",22,23,"Sí",5,1501,60,2,4,1.6,"No amoblada","Privado",4,5,5,5,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","casas.trovit.com.pe"
"145","Leo","San Juan de Miraflores","UTEC",730,22,"Sí",2,400,160,3,5,9.5,"Basicamente amoblada","Privado",2,3,3,3,"Cualquier genero","No","No","No","No","departamento.mercadolibre.com.pe"
"146","Leo","Callao","UPN",49,29,"Sí",3,400,15,4,5,15,"No amoblada","Privado",3,4,3,3,"No menciona","No muestra","No muestra","No muestra","No muestra","inmueble.mercadolibre.com.pe"
