"","Integrante","Distrito","Universidad","Dias_de_publicación","Tiempo_transporte","Transporte_bool","Transporte_int","Precio","Tamaño","Servicios","Tiendas","Distancia","Amoblado","Baño","confiablidad_servicios","Calidad_habitacion","Comunicacion","Descripcion","Roomate","Fumar","Mascotas","Fiesta","Niños","Sitio_web"
"77","Kiara","Miraflores","UTEC",8,13,"Sí",3,900,12,1,3,2.4,"Basicamente amoblada","Privado",4,5,5,4,"Solo damas","No muestra","No muestra","No muestra","No muestra","urbania.pe"
"78","Ann","Santiago de Surco","UTEC",7,24,"Sí",4,1600,52,4,3,1.8,"No amoblada","Privado",5,5,4,4,"Cualquier genero","No muestra","Si, No muestra","Si","Si","casas.trovit.com.pe"
"79","Maria","Lima Metropolitana","UP",9,8,"Sí",3,550,6,2,3,4.1,"Basicamente amoblada","Compartido",2,3,2,1,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","facebook.com"
"80","Ann","Santiago de Surco","UPC",6,16,"No",1,850,30,4,1,1.1,"Completamente amoblada","Privado",5,5,5,4,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","casas.trovit.com.pe"
"81","Maria","Villa Maria de Triunfo","UTP",7,20,"Sí",3,650,35,1,3,7.6,"No amoblada","Privado",2,3,2,3,"Cualquier genero","No muestra","No","No muestra","No muestra","facebook.com"
"82","Maria","Surquillo","UTEC",1,12,"Sí",2,800,17,4,3,3.5,"No amoblada","Compartido",3,4,3,3,"Solo damas","No","No","No","No","facebook.com"
"83","Maria","Santiago de Surco","UTEC",3,10,"Sí",3,780,10,2,3,1.9,"Basicamente amoblada","Compartido",3,3,2,2,"Solo hombres","No","No","No","No","facebook.com"
"84","Maria","La Victoria","ULIMA",3,20,"Sí",2,600,9,2,4,1.9,"No amoblada","Compartido",3,2,4,5,"Cualquier genero","No","No","No","No","adondevivir.com"
"85","Ann","Santiago de Surco","URP",35,20,"Sí",5,1500,75,0,5,1.5,"No amoblada","Privado",5,5,5,3,"No menciona","No muestra","No muestra","No muestra","Si","casas.trovit.com.pe"
"86","Ann","Santiago de Surco","URP",16,18,"Sí",5,1970,60,0,4,1.3,"No amoblada","Privado",4,5,5,5,"No menciona","No muestra","No muestra","No muestra","No muestra","casas.trovit.com.pe"
"87","Leo","La Molina","PUCP",6,51,"Sí",1,1700,110,1,4,20.5,"No amoblada","Privado",4,2,3,5,"Cualquier genero","No","No","No","No","departamento.mercadolibre.com.pe"
"88","Leo","San Miguel","PUCP",11,7,"Sí",5,700,15,4,3,7,"No amoblada","Privado",3,3,4,3,"Cualquier genero","No","No","No","No","departamento.mercadolibre.com.pe"
"89","Maria","San Isidro","UPC",7,12,"Sí",3,700,11,4,3,3.4,"Basicamente amoblada","Compartido",4,5,3,2,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","adondevivir.com"
"90","Maria","Breña","UNMSM",8,8,"Sí",3,450,8,4,4,5.1,"Basicamente amoblada","Compartido",3,4,4,4,"Solo damas","No","No","No","No","adondevivir.com"
"91","Ann","Santiago de Surco","UMCH",8,10,"Sí",1,1450,50,1,5,0.7,"Basicamente amoblada","Privado",4,5,5,4,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","casas.trovit.com.pe"
"92","Maria","Lima Metropolitana","UNMSM",25,6,"Sí",3,600,15,4,4,1.8,"Basicamente amoblada","Privado",4,5,4,4,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","adondevivir.com"
"93","Maria","Ate","UPC",2,13,"Sí",3,850,90,4,5,3.4,"Completamente amoblada","Privado",4,5,4,5,"Cualquier genero","No","No","No","No","adondevivir.com"
"94","Maria","La Molina","ULIMA",33,10,"Sí",4,700,14,4,3,3.8,"Basicamente amoblada","Privado",3,3,4,4,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","adondevivir.com"
"95","Maria","La Victoria","UPC",19,6,"Sí",3,400,16,1,5,2.3,"No amoblada","Compartido",2,3,3,1,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","adondevivir.com"
"96","Maria","Miraflores","UTEC",199,12,"Sí",3,750,19,4,4,4.3,"Basicamente amoblada","Compartido",4,3,3,3,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","adondevivir.com"
"97","Leo","San Juan de Lurigancho","PUCP",19,30,"Sí",3,800,67,4,3,20,"No amoblada","Compartido",3,2,4,3,"Cualquier genero","No","No","No","No","departamento.mercadolibre.com.pe"
"98","Leo","San Miguel","PUCP",180,10,"Sí",2,750,50,2,3,14,"No amoblada","Privado",5,5,4,3,"Cualquier genero","No","No","No","No","departamento.mercadolibre.com.pe"
"99","Ann","Santiago de Surco","UPN",2,21,"Sí",5,1500,45,0,5,2.7,"Basicamente amoblada","Privado",5,5,5,5,"Cualquier genero","No muestra","Si","No muestra","No muestra","casas.trovit.com.pe"
"100","Maria","Santiago de Surco","UPC",37,3,"Sí",3,850,18,4,4,0.45,"Basicamente amoblada","Privado",4,5,4,5,"Solo damas","No","Si","No","No","adondevivir.com"
"101","Leo","San Miguel","PUCP",48,6,"Sí",3,400,10,2,3,4,"Basicamente amoblada","Privado",5,3,4,3,"Cualquier genero","No","No","No","No","departamento.mercadolibre.com.pe"
